utterance,year,relation,target,object,verb
approach_vvg the_at house_nn1 from_ii the_at direction_nn1 ,1897,locatum_out,house,direction,approach
secure_vvi its_appge passage_nn1 through_ii the_at house_nn1 ,1897,instrument,house,passage,secure
make_vvi a_at1 raid_nn1 on_ii your_appge house_nn1 ,1898,location_on,house,raid,make
find_vvd kitchell_np1 on_ii the_at house_nn1 ,1898,location_on,house,kitchell,find
search_vvi the_at house_nn1 from_ii the_at garret_nn1 ,1898,locatum_out,house,garret,search
divert_vvi the_at fluid_nn1 from_ii the_at house_nn1 ,1898,location_out,house,fluid,divert
claim_vvi kinship_nn1 with_iw the_at house_nn1 ,1899,instrument,house,kinship,claim
enlighten_vvi the_at house_nn1 on_ii the_at subject_nn1 ,1899,locatum_on,house,subject,enlighten
have_vhd a_at1 house_nn1 on_ii the_at thames_np1 ,1900,locatum_on,house,thames,have
make_vvd a_at1 break_nn1 from_ii the_at house_nn1 ,1900,location_out,house,break,make
have_vh0 a_at1 house_nn1 on_ii the_at north_nd1 ,1900,locatum_on,house,north,have
get_vvi her_appge bundle_nn1 from_ii the_at house_nn1 ,1900,location_out,house,bundle,get
want_vv0 a_at1 secretary_nn1 from_ii the_at house_nn1 ,1900,location_out,house,secretary,want
need_vvg a_at1 change_nn1 from_ii the_at house_nn1 ,1900,location_out,house,change,need
enter_vv0 bridget_np1 from_ii the_at house_nn1 ,1901,location_out,house,bridget,enter
leave_vvd her_appge house_nn1 on_ii the_at sunday_npd1 ,1901,locatum_on,house,sunday,leave
get_vvi audience_nn1 with_iw his_appge house_nn1 ,1901,instrument,house,audience,get
build_vv0 their_appge house_nn2 on_ii the_at lake_nn1 ,1901,locatum_on,house,lake,build
set_vvd a_at1 watch_nn1 on_ii the_at house_nn1 ,1901,location_on,house,watch,set
extend_vvg the_at house_nn1 on_ii the_at side_nn1 ,1901,locatum_on,house,side,extend
take_vvi his_appge house_nn1 from_ii his_appge widow_nn1 ,1902,locatum_out,house,widow,take
build_vvd his_appge house_nn1 on_ii the_at island_nn1 ,1902,locatum_on,house,island,build
enter_vv0 bradford_np1 from_ii the_at house_nn1 ,1902,location_out,house,bradford,enter
come_vvd the_at exodus_nn1 from_ii the_at house_nn2 ,1902,location_out,house,exodus,come
hide_vvz the_at house_nn1 from_ii the_at boat_nn1 ,1902,locatum_out,house,boat,hide
search_vvn the_at house_nn1 from_ii the_at cellar_nn1 ,1902,locatum_out,house,cellar,search
lead_vvd_vvn the_at raid_nn1 on_ii the_at house_nn1 ,1903,location_on,house,raid,lead
receive_vvn no_at word_nn1 from_ii the_at house_nn1 ,1903,location_out,house,word,receive
have_vhd my_appge house_nn1 on_ii the_at hill_nn1 ,1904,locatum_on,house,hill,have
track_vvi the_at snow_nn1 through_ii her_appge house_nn1 ,1904,instrument,house,snow,track
play_vvz the_at piano_nn1 like_ii a_at1 house_nn1 ,1905,agent,house,piano,play
leave_vvd_vvn our_appge house_nn1 on_ii a_at1 run_nn1 ,1905,locatum_on,house,run,leave
buy_vvi an_at1 option_nn1 on_ii a_at1 house_nn1 ,1905,location_on,house,option,buy
get_vvg good_nn2 from_ii the_at house_nn2 ,1905,location_out,house,good,get
get_vvd a_at1 telegram_nn1 from_ii the_at house_nn1 ,1905,location_out,house,telegram,get
receive_vvn a_at1 letter_nn1 from_ii the_at house_nn1 ,1905,location_out,house,letter,receive
sign_vvi a_at1 contract_nn1 with_iw the_at house_nn1 ,1905,instrument,house,contract,sign
send_vvd his_appge stock_nn1 with_iw the_at house_nn1 ,1905,instrument,house,stock,send
rock_vvd_vvn house_nn2 from_ii their_appge foundation_nn2 ,1905,locatum_out,house,foundation,rock
build_vvz his_appge house_nn1 on_ii the_at rock_nn2 ,1905,locatum_on,house,rock,build
be_vbdr the_at house_nn2 on_ii the_at west_nd1 ,1905,locatum_on,house,west,be
build_vvi a_at1 wing_nn1 on_ii his_appge house_nn1 ,1906,location_on,house,wing,build
be_vbdz their_appge escort_nn1 from_ii the_at house_nn1 ,1906,location_out,house,escort,be
take_vvi her_appge departure_nn1 from_ii their_appge house_nn1 ,1906,location_out,house,departure,take
see_vvd the_at house_nn1 from_ii the_at train_nn1 ,1907,locatum_out,house,train,see
pass_vvd his_appge house_nn1 on_ii his_appge way_nn1 ,1907,locatum_on,house,way,pass
bring_vvi the_at oar_nn2 from_ii the_at house_nn1 ,1907,location_out,house,oar,bring
hear_vvi a_at1 whistle_nn1 from_ii his_appge house_nn1 ,1907,location_out,house,whistle,hear
bring_vvd_vvn her_appge daughter_nn1 from_ii the_at house_nn1 ,1907,location_out,house,daughter,bring
drive_vvi a_at1 mile_nnu1 from_ii his_appge house_nn1 ,1908,location_out,house,mile,drive
banish_vvi discontent_nn1 from_ii her_appge house_nn1 ,1909,location_out,house,discontent,banish
draw_vvn wilson_np1 from_ii the_at house_nn1 ,1909,location_out,house,wilson,draw
jj_vv0 house_nn2 on_ii the_at prairie_nn1 ,1909,locatum_on,house,prairie,jj
hate_vvd the_at house_nn1 on_ii the_at hill_nn1 ,1910,locatum_on,house,hill,hate
build_vvz her_appge house_nn2 on_ii her_appge flank_nn2 ,1910,locatum_on,house,flank,build
be_vbz the_at news_nn1 from_ii the_at house_nn1 ,1910,location_out,house,news,be
expose_vvd_vvn the_at house_nn1 on_ii the_at slope_nn1 ,1911,locatum_on,house,slope,expose
keep_vvi an_at1 eye_nn1 on_ii the_at house_nn1 ,1911,location_on,house,eye,keep
drive_vvg the_at man_nn1 from_ii the_at house_nn1 ,1911,location_out,house,man,drive
be_vbdz no_at reply_nn1 from_ii the_at house_nn1 ,1911,location_out,house,reply,be
get_vvd the_at shoe_nn2 from_ii the_at house_nn1 ,1911,location_out,house,shoe,get
frequent_vvi absence_nn2 from_ii the_at house_nn1 ,1911,location_out,house,absence,frequent
hide_vvz the_at house_nn1 from_ii the_at roadway_nn1 ,1912,locatum_out,house,roadway,hide
buy_vvn a_at1 house_nn1 on_ii the_at shore_np1 ,1912,locatum_on,house,shore,buy
get_vvd a_at1 lease_nn1 on_ii his_appge house_nn1 ,1912,location_on,house,lease,get
shake_vvn the_at house_nn1 from_ii its_appge foundation_nn2 ,1913,locatum_out,house,foundation,shake
put_vvi a_at1 mortgage_nn1 on_ii the_at house_nn1 ,1913,location_on,house,mortgage,put
get_vvn a_at1 house_nn1 on_ii our_appge lake_nn1 ,1913,locatum_on,house,lake,get
know_vvz the_at way_nn1 from_ii the_at house_nn1 ,1914,location_out,house,way,know
take_vvi a_at1 look_nn1 through_ii the_at house_nn1 ,1914,instrument,house,look,take
enter_vvd your_appge house_nn1 on_ii a_at1 wager_nn1 ,1914,locatum_on,house,wager,enter
stop_vvn work_nn1_vv0 on_ii the_at house_nn1 ,1914,location_on,house,work,stop
take_vvd place_nn1 from_ii the_at house_nn1 ,1914,location_out,house,place,take
pass_vvd his_appge house_nn1 on_ii her_appge way_nn1 ,1915,locatum_on,house,way,pass
enter_vvi the_at house_nn1 from_ii the_at kitchen_nn1 ,1915,locatum_out,house,kitchen,enter
make_vvd their_appge way_nn1 from_ii the_at house_nn1 ,1915,location_out,house,way,make
rent_vvi a_at1 house_nn1 from_ii the_at municipality_nn1 ,1916,locatum_out,house,municipality,rent
shelter_vvi the_at house_nn2 from_ii the_at blizzard_nn2 ,1916,locatum_out,house,blizzard,shelter
have_vh0 a_at1 farm_nn1 with_iw a_at1 house_nn1 ,1916,instrument,house,farm,have
send_vvd_vvn its_appge reverberation_nn2 through_ii the_at house_nn1 ,1916,instrument,house,reverberation,send
vvn_vvd house_nn1 on_ii the_at moor_nn2 ,1917,locatum_on,house,moor,vvn
leave_vvd the_at house_nn1 on_ii the_at trot_nn1 ,1917,locatum_on,house,trot,leave
garner_vvd the_at note_nn1 from_ii the_at house_nn1 ,1918,location_out,house,note,garner
build_vvn a_at1 house_nn1 on_ii a_at1 hill_nn1 ,1918,locatum_on,house,hill,build
know_vv0 your_appge way_nn1 through_ii the_at house_nn1 ,1918,instrument,house,way,know
come_vvd house_nn2 on_ii the_at bank_nn2 ,1919,locatum_on,house,bank,come
drive_vvd her_appge car_nn1 from_ii the_at house_nn1 ,1919,location_out,house,car,drive
address_vvi the_at house_nn1 on_ii a_at1 question_nn1 ,1919,locatum_on,house,question,address
separate_vvg the_at house_nn1 from_ii the_at precipice_nn1 ,1919,locatum_out,house,precipice,separate
see_vvd a_at1 house_nn1 on_ii the_at riverside_nn1 ,1919,locatum_on,house,riverside,see
buy_vvg a_at1 house_nn1 on_ii the_at installment_nn1 ,1919,locatum_on,house,installment,buy
have_vhi a_at1 house_nn1 on_ii your_appge hand_nn2 ,1920,locatum_on,house,hand,have
build_vvi house_nn2 on_ii the_at sand_nn1 ,1920,locatum_on,house,sand,build
put_vv0_vvd our_appge house_nn2 on_ii the_at top_nn2 ,1920,locatum_on,house,top,put
be_vbdr the_at house_nn2 on_ii the_at cliff_nn1 ,1920,locatum_on,house,cliff,be
frequent_vvd the_at house_nn1 on_ii the_at hill_nn1 ,1920,locatum_on,house,hill,frequent
have_vhd friend_nn2 by_ii the_at house_nn1 ,1920,instrument,house,friend,have
build_vvn the_at house_nn1 on_ii a_at1 scale_nn1 ,1920,locatum_on,house,scale,build
enter_vvd the_at house_nn1 on_ii a_at1 level_nn1_jj ,1920,locatum_on,house,level,enter
put_vvg the_at amendment_nn1 through_ii the_at house_nn1 ,1920,instrument,house,amendment,put
put_vvg the_at amendment_nn1 through_ii the_at house_nn1 ,1920,instrument,house,amendment,put
lead_vvd eunice_np1 from_ii the_at house_nn1 ,1920,location_out,house,eunice,lead
set_vv0_vvd a_at1 watch_nn1 on_ii my_appge house_nn1 ,1921,location_on,house,watch,set
be_vbdz a_at1 scream_nn1 from_ii the_at house_nn1 ,1921,location_out,house,scream,be
carry_vvg their_appge house_nn2 on_ii their_appge back_nn2 ,1921,locatum_on,house,back,carry
drive_vvd your_appge mother_nn1 from_ii my_appge house_nn1 ,1921,location_out,house,mother,drive
bring_vvi ruin_nn1_vv0 on_ii the_at house_nn1 ,1921,location_on,house,ruin,bring
get_vvn a_at1 mortgage_nn1 on_ii your_appge house_nn1 ,1921,location_on,house,mortgage,get
be_vbdz a_at1 house_nn1 on_ii the_at street_nn1 ,1921,locatum_on,house,street,be
help_vvi her_appge mother_nn1 with_iw the_at house_nn1 ,1921,instrument,house,mother,help
approach_vvn the_at house_nn1 from_ii his_appge side_nn1 ,1921,locatum_out,house,side,approach
hear_vvd a_at1 screech_nn1 from_ii the_at house_nn1 ,1922,location_out,house,screech,hear
have_vhd a_at1 house_nn1 on_ii the_at edge_nn1 ,1922,locatum_on,house,edge,have
reach_vvg the_at house_nn1 on_ii the_at hill_nn1 ,1922,locatum_on,house,hill,reach
suspect_vvd a_at1 watch_nn1 on_ii the_at house_nn1 ,1922,location_on,house,watch,suspect
poke_vvd its_appge pipe_nn1 through_ii the_at house_nn1 ,1922,instrument,house,pipe,poke
forget_vvn his_appge day_nnt2 as_ii_csa a_at1 house_nn1 ,1922,agent,house,day,forget
be_vbdz the_at house_nn1 on_ii the_at bend_nn1 ,1922,locatum_on,house,bend,be
be_vbi no_at election_nn1 by_ii the_at house_nn1 ,1924,instrument,house,election,be
place_vv0_nn1 their_appge hold_nn1 on_ii the_at house_nn1 ,1924,location_on,house,hold,place
prevent_vvi control_nn1 by_ii the_at house_nn1 ,1924,instrument,house,control,prevent
approach_vvd the_at house_nn1 from_ii the_at side_nn1 ,1925,locatum_out,house,side,approach
reveal_vvi the_at house_nn1 on_ii the_at corner_nn1 ,1925,locatum_on,house,corner,reveal
include_vvi the_at sign_nn1 on_ii the_at house_nn1 ,1925,location_on,house,sign,include
make_vvg his_appge escape_nn1 from_ii the_at house_nn1 ,1925,location_out,house,escape,make
strike_vvd_vvn a_at1 house_nn1 on_ii the_at ground_nn2 ,1926,locatum_on,house,ground,strike
leave_vvn his_appge house_nn1 on_ii the_at hill_nn1 ,1926,locatum_on,house,hill,leave
be_vbdr his_appge dealing_nn2 with_iw the_at house_nn1 ,1926,instrument,house,dealing,be
build_vv0 your_appge house_nn1 on_ii the_at sand_nn1 ,1926,locatum_on,house,sand,build
tear_vvd house_nn2 from_ii their_appge foundation_nn2 ,1926,locatum_out,house,foundation,tear
bring_vvd my_appge bench_nn1 from_ii the_at house_nn1 ,1927,location_out,house,bench,bring
obtain_vv0 adoption_nn1 by_ii the_at house_nn1 ,1928,instrument,house,adoption,obtain
support_vvi the_at measure_nn1 on_ii the_at house_nn1 ,1929,location_on,house,measure,support
include_vvd_vvn a_at1 house_nn1 from_ii the_at city_nn1 ,1929,locatum_out,house,city,include
sell_vvi the_at house_nn1 on_ii the_at hill_nn1 ,1929,locatum_on,house,hill,sell
see_vvi the_at rock_nn1 from_ii our_appge house_nn1 ,1930,location_out,house,rock,see
assume_vvz an_at1 air_nn1 with_iw a_at1 house_nn1 ,1930,instrument,house,air,assume
leave_vvi the_at house_nn1 on_ii an_at1 errand_nn1 ,1930,locatum_on,house,errand,leave
feed_vvn_vvd dust_nn1 through_ii the_at house_nn1 ,1930,instrument,house,dust,feed
rank_vvg_nn1 republican_nn1 on_ii the_at house_nn1 ,1931,location_on,house,republican,rank
be_vbz the_at house_nn1 from_ii the_at entrance_nn1 ,1931,locatum_out,house,entrance,be
adjoin_vvd the_at house_nn1 on_ii the_at east_nd1 ,1931,locatum_on,house,east,adjoin
hear_vvd_vvn the_at commotion_nn1 from_ii the_at house_nn1 ,1931,location_out,house,commotion,hear
approach_vvi the_at house_nn1 from_ii the_at west_nd1 ,1932,locatum_out,house,west,approach
turn_vvd his_appge back_nn1 on_ii the_at house_nn1 ,1932,location_on,house,back,turn
approach_vvd_vvn the_at kitchen_nn1 from_ii the_at house_nn1 ,1932,location_out,house,kitchen,approach
bring_vvd food_nn1 from_ii their_appge house_nn2 ,1932,location_out,house,food,bring
send_vvn the_at measure_nn1 through_ii the_at house_nn1 ,1932,instrument,house,measure,send
have_vh0 lease_nn2 on_ii our_appge house_nn2 ,1933,location_on,house,lease,have
override_vvg the_at veto_nn1 as_ii_csa the_at house_nn1 ,1933,agent,house,veto,override
repair_vvg their_appge house_nn2 from_ii the_at damage_nn1 ,1933,locatum_out,house,damage,repair
see_vv0 the_at number_nn1 on_ii the_at house_nn1 ,1933,location_on,house,number,see
runt_vv0 the_at house_nn1 on_ii the_at hill_nn1 ,1933,locatum_on,house,hill,runt
take_vv0 a_at1 house_nn1 on_ii the_at mediterranean_np1_jj ,1933,locatum_on,house,mediterranean,take
raise_vvd the_at mortgage_nn1 on_ii her_appge house_nn1 ,1933,location_on,house,mortgage,raise
have_vhi a_at1 drink_nn1 on_ii the_at house_nn1 ,1933,location_on,house,drink,have
indicate_vvd the_at roadway_nn1 from_ii the_at house_nn1 ,1933,location_out,house,roadway,indicate
build_vvd a_at1 house_nn1 on_ii a_at1 piece_nn1 ,1934,locatum_on,house,piece,build
reconcile_vvi the_at hungarian_nn2 with_iw the_at house_nn1 ,1934,instrument,house,hungarian,reconcile
owe_vvz a_at1 mortgage_nn1 on_ii his_appge house_nn1 ,1934,location_on,house,mortgage,owe
run_vvg_jj_nn1 errand_nn2_vvz through_ii the_at house_nn1 ,1934,instrument,house,errand,run
make_vvn their_appge exit_nn1 from_ii the_at house_nn1 ,1934,location_out,house,exit,make
write_vvg_nn1 material_nn1 from_ii his_appge house_nn1 ,1935,location_out,house,material,write
put_vvn her_appge house_nn1 on_ii the_at market_nn1 ,1935,locatum_on,house,market,put
buy_vvi the_at place_nn1 with_iw the_at house_nn1 ,1935,instrument,house,place,buy
push_vvi the_at measure_nn1 through_ii the_at house_nn1 ,1935,instrument,house,measure,push
engineer_vvd_vvn the_at bill_nn1 through_ii the_at house_nn1 ,1935,instrument,house,bill,engineer
leave_vvd_vvn the_at house_nn1 on_ii the_at rue_np1 ,1936,locatum_on,house,rue,leave
visit_vvg the_at house_nn1 on_ii the_at rue_np1 ,1936,locatum_on,house,rue,visit
visit_vvg the_at house_nn1 on_ii the_at rue_np1 ,1936,locatum_on,house,rue,visit
leave_vvn the_at house_nn1 on_ii the_at rue_np1 ,1936,locatum_on,house,rue,leave
keep_vvn house_nn1 on_ii a_at1 scale_nn1 ,1936,locatum_on,house,scale,keep
live_vvd_vvn a_at1 block_nn1 from_ii my_appge house_nn1 ,1937,location_out,house,block,live
see_vvi the_at light_nn1_jj from_ii the_at house_nn1 ,1937,location_out,house,light,see
be_vbi the_at house_nn1 on_ii the_at street_nn1 ,1937,locatum_on,house,street,be
build_vvn house_nn2 from_ii the_at beginning_nn1 ,1937,locatum_out,house,beginning,build
plunk_vvd a_at1 bomb_nn1 on_ii the_at house_nn1 ,1937,location_on,house,bomb,plunk
put_vv0_vvd the_at screw_nn2 on_ii the_at house_nn1 ,1937,location_on,house,screw,put
build_vvn their_appge house_nn1 on_ii a_at1 rise_nn1 ,1937,locatum_on,house,rise,build
carry_vvi the_at piano_nn1 from_ii the_at house_nn1 ,1937,location_out,house,piano,carry
tear_vvn the_at kingdom_nn1 from_ii the_at house_nn1 ,1938,location_out,house,kingdom,tear
be_vbdz no_at sound_nn1 through_ii the_at house_nn1 ,1938,instrument,house,sound,be
build_vvi house_nn2 on_ii a_at1 belt_nn1 ,1938,locatum_on,house,belt,build
set_vvn a_at1 chimney_nn1 on_ii a_at1 house_nn1 ,1938,location_on,house,chimney,set
light_vvi his_appge way_nn1 from_ii the_at house_nn1 ,1938,location_out,house,way,light
light_vvi his_appge way_nn1 from_ii the_at house_nn1 ,1938,location_out,house,way,light
have_vhi the_at mortgage_nn1 on_ii the_at house_nn1 ,1938,location_on,house,mortgage,have
have_vh0 a_at1 drink_nn1 on_ii the_at house_nn1 ,1938,location_on,house,drink,have
follow_vvd freddie_np1 from_ii the_at house_nn1 ,1939,location_out,house,freddie,follow
report_vvd_vvn a_at1 bill_nn1 from_ii the_at house_nn1 ,1939,location_out,house,bill,report
have_vhn a_at1 mortgage_nn1 on_ii my_appge house_nn1 ,1939,location_on,house,mortgage,have
remove_vvn his_appge effect_nn2 from_ii the_at house_nn1 ,1939,location_out,house,effect,remove
build_vvi a_at1 house_nn1 on_ii the_at north_nd1 ,1939,locatum_on,house,north,build
lay_vvd his_appge hand_nn1 on_ii the_at house_nn1 ,1939,location_on,house,hand,lay
empty_vvi house_nn2 on_ii the_at abolition_nn1 ,1939,locatum_on,house,abolition,empty
leave_vvd the_at house_nn1 on_ii an_at1 errand_nn1 ,1939,locatum_on,house,errand,leave
protect_vvi the_at house_nn1 from_ii the_at rabble_nn1 ,1940,locatum_out,house,rabble,protect
have_vh0 a_at1 drink_nn1 on_ii the_at house_nn1 ,1940,location_on,house,drink,have
seek_vvi a_at1 place_nn1 on_ii the_at house_nn1 ,1941,location_on,house,place,seek
shove_vvd the_at bill_nn1 through_ii the_at house_nn1 ,1941,instrument,house,bill,shove
leave_vvd_vvn the_at house_nn1 on_ii the_at spot_nn1 ,1941,locatum_on,house,spot,leave
expect_vvg question_nn2 on_ii the_at house_nn1 ,1941,location_on,house,question,expect
necessitate_vvi a_at1 reconsideration_nn1 by_ii the_at house_nn1 ,1941,instrument,house,reconsideration,necessitate
see_vvi our_appge house_nn1 from_ii the_at river_nn1 ,1941,locatum_out,house,river,see
admit_vvi his_appge absence_nn1 from_ii the_at house_nn1 ,1942,location_out,house,absence,admit
take_vvn a_at1 house_nn1 on_ii the_at strength_nn1 ,1942,locatum_on,house,strength,take
know_vv0 the_at mortgage_nn1 on_ii the_at house_nn1 ,1943,location_on,house,mortgage,know
be_vbi no_at vote_nn1 by_ii the_at house_nn1 ,1943,instrument,house,vote,be
be_vbdz the_at approval_nn1 by_ii the_at house_nn1 ,1943,instrument,house,approval,be
be_vbn a_at1 shimmer_nn1 on_ii the_at house_nn1 ,1943,location_on,house,shimmer,be
be_vbdz a_at1 house_nn1 on_ii the_at stage_nn1 ,1943,locatum_on,house,stage,be
put_vvi the_at house_nn1 on_ii the_at market_nn1 ,1944,locatum_on,house,market,put
push_vvg the_at bill_nn1 through_ii the_at house_nn1 ,1944,instrument,house,bill,push
play_vvd their_appge hose_nn2 on_ii the_at house_nn2 ,1944,location_on,house,hose,play
drive_vvd man_nn2 from_ii the_at house_nn1 ,1944,location_out,house,man,drive
keep_vvg a_at1 case_nn1 on_ii the_at house_nn1 ,1944,location_on,house,case,keep
burn_vv0 every_at1 house_nn1 on_ii the_at place_nn1 ,1944,locatum_on,house,place,burn
burn_vv0 every_at1 house_nn1 on_ii the_at place_nn1 ,1944,locatum_on,house,place,burn
get_vvn_vvd a_at1 shot_nn1 on_ii the_at house_nn1 ,1944,location_on,house,shot,get
push_vvd_vvn the_at boy_nn2 from_ii the_at house_nn1 ,1945,location_out,house,boy,push
see_vvi the_at light_nn1_jj from_ii the_at house_nn1 ,1945,location_out,house,light,see
take_vvd a_at1 bedsheet_nn1 from_ii a_at1 house_nn1 ,1945,location_out,house,bedsheet,take
face_vvi opposition_nn1 on_ii the_at house_nn1 ,1946,location_on,house,opposition,face
keep_vvi an_at1 eye_nn1 on_ii the_at house_nn1 ,1946,location_on,house,eye,keep
take_vvd the_at house_nn1 on_ii a_at1 tour_nn1 ,1946,locatum_on,house,tour,take
rule_vvn england_np1 through_ii a_at1 house_nn1 ,1947,instrument,house,england,rule
recall_vvd a_at1 house_nn1 on_ii the_at coast_nn1 ,1947,locatum_on,house,coast,recall
have_vhi payment_nn2 on_ii a_at1 house_nn1 ,1947,location_on,house,payment,have
buy_vvn the_at house_nn1 on_ii the_at corner_nn1 ,1947,locatum_on,house,corner,buy
see_vv0 the_at house_nn1 on_ii its_appge way_nn1 ,1947,locatum_on,house,way,see
see_vv0 the_at house_nn1 on_ii its_appge way_nn1 ,1947,locatum_on,house,way,see
order_vvd the_at student_nn1 from_ii his_appge house_nn1 ,1948,location_out,house,student,order
give_vvg a_at1 mortgage_nn1 on_ii the_at house_nn1 ,1948,location_on,house,mortgage,give
be_vbz the_at recommendation_nn1 by_ii the_at house_nn1 ,1949,instrument,house,recommendation,be
favor_vvd a_at1 compromise_nn1 with_iw the_at house_nn1 ,1949,instrument,house,compromise,favor
accept_vvi amendment_nn2 by_ii the_at house_nn1 ,1949,instrument,house,amendment,accept
leave_vvd my_appge house_nn1 on_ii the_at night_nnt1 ,1949,locatum_on,house,night,leave
announce_vvi his_appge resignation_nn1 from_ii the_at house_nn1 ,1949,location_out,house,resignation,announce
throng_vvd_vvn the_at space_nn1 on_ii the_at house_nn1 ,1949,location_on,house,space,throng
be_vbi a_at1 vote_nn1 by_ii the_at house_nn1 ,1949,instrument,house,vote,be
drink_vvd champagne_nn1 on_ii the_at house_nn1 ,1950,location_on,house,champagne,drink
supply_vvg his_appge house_nn1 on_ii a_at1 hilltop_nn1 ,1950,locatum_on,house,hilltop,supply
rank_vvg_nn1 republican_nn1 on_ii the_at house_nn1 ,1950,location_on,house,republican,rank
keep_vv0 my_appge eye_nn2 on_ii the_at house_nn1 ,1950,location_on,house,eye,keep
have_vhg a_at1 drink_nn1 on_ii the_at house_nn1 ,1951,location_on,house,drink,have
betray_vvd their_appge familiarity_nn1 with_iw the_at house_nn1 ,1951,instrument,house,familiarity,betray
make_vvi their_appge way_nn1 from_ii the_at house_nn1 ,1951,location_out,house,way,make
get_vv0 a_at1 drink_nn1 on_ii the_at house_nn1 ,1952,location_on,house,drink,get
keep_vvi their_appge eye_nn2 on_ii the_at house_nn1 ,1952,location_on,house,eye,keep
make_vvd his_appge way_nn1 through_ii the_at house_nn1 ,1952,instrument,house,way,make
build_vvi a_at1 house_nn1 on_ii the_at ruin_nn2 ,1952,locatum_on,house,ruin,build
pass_vvd the_at house_nn1 on_ii their_appge way_nn1 ,1953,locatum_on,house,way,pass
keep_vv0 an_at1 eye_nn1 on_ii the_at house_nn1 ,1953,location_on,house,eye,keep
enter_vvg the_at house_nn1 from_ii the_at rear_nn1_jj ,1953,locatum_out,house,rear,enter
be_vbz a_at1 cry_nn1 from_ii the_at house_nn1 ,1954,location_out,house,cry,be
jj_vvg path_nn2 from_ii the_at house_nn2 ,1954,location_out,house,path,jj
push_vvd his_appge bill_nn1 through_ii the_at house_nn1 ,1954,instrument,house,bill,push
sell_vvn the_at house_nn1 on_ii the_at river_nn1 ,1954,locatum_on,house,river,sell
see_vvi time_nnt1 as_ii_csa a_at1 house_nn1 ,1954,agent,house,time,see
fix_vvi seal_nn2 on_ii the_at house_nn1 ,1954,location_on,house,seal,fix
have_vhz sidewalk_nn1 from_ii the_at house_nn1 ,1954,location_out,house,sidewalk,have
approach_vvd the_at house_nn1 from_ii a_at1 lane_nn1 ,1955,locatum_out,house,lane,approach
bring_vvd a_at1 curse_nn1 on_ii the_at house_nn1 ,1955,location_on,house,curse,bring
serve_vvd_vvn beer_nn1 on_ii the_at house_nn1 ,1955,location_on,house,beer,serve
pass_vvi a_at1 house_nn1 on_ii your_appge walk_nn1 ,1955,locatum_on,house,walk,pass
build_vvi your_appge house_nn1 on_ii a_at1 rock_nn1 ,1955,locatum_on,house,rock,build
lose_vvi money_nn1 on_ii the_at house_nn1 ,1955,location_on,house,money,lose
reach_vvd_vvn its_appge climax_nn1 as_ii_csa the_at house_nn1 ,1955,agent,house,climax,reach
represent_vvd house_nn2 on_ii a_at1 city_nn1 ,1956,locatum_on,house,city,represent
waste_vvg your_appge money_nn1 on_ii a_at1 house_nn1 ,1956,location_on,house,money,waste
have_vhg a_at1 shot_nn1 on_ii the_at house_nn1 ,1956,location_on,house,shot,have
ask_vvn a_at1 blessing_nn1 on_ii the_at house_nn1 ,1956,location_on,house,blessing,ask
borrow_vvd_vvn money_nn1 on_ii their_appge house_nn1 ,1956,location_on,house,money,borrow
cross_vv0 the_at street_nn1 from_ii my_appge house_nn1 ,1956,location_out,house,street,cross
do_vd0 house_nn2 on_ii the_at site_nn1 ,1957,locatum_on,house,site,do
cross_vvd the_at distance_nn1 from_ii the_at house_nn1 ,1957,location_out,house,distance,cross
help_vvg_nn1 denny_np1 with_iw his_appge house_nn2 ,1958,instrument,house,denny,help
buy_vvn_vvd a_at1 house_nn1 on_ii the_at island_nn1 ,1958,locatum_on,house,island,buy
get_vvd_vvn a_at1 bill_nn1 through_ii the_at house_nn1 ,1958,instrument,house,bill,get
send_vvn a_at1 letter_nn1 from_ii the_at house_nn1 ,1959,location_out,house,letter,send
show_vvi the_at house_nn1 on_ii the_at day_nnt1 ,1959,locatum_on,house,day,show
buy_vvd_vvn a_at1 door_nn1 from_ii a_at1 house_nn1 ,1959,location_out,house,door,buy
buy_vvn the_at house_nn1 from_ii the_at thatcher_np1 ,1960,locatum_out,house,thatcher,buy
carry_vvg bag_nn2 from_ii the_at house_nn1 ,1960,location_out,house,bag,carry
get_vvi action_nn1 by_ii the_at house_nn1 ,1961,instrument,house,action,get
rank_vvg_nn1 republican_nn1 on_ii the_at house_nn1 ,1961,location_on,house,republican,rank
run_vvi the_at house_nn1 from_ii the_at speaker_nn1 ,1961,locatum_out,house,speaker,run
have_vhd no_at word_nn1 from_ii the_at house_nn1 ,1961,location_out,house,word,have
get_vvg interference_nn1 from_ii the_at house_nn1 ,1961,location_out,house,interference,get
keep_vvi house_nn1 on_ii a_at1 bar_nn1 ,1961,locatum_on,house,bar,keep
put_vvn the_at house_nn1 on_ii the_at market_nn1 ,1961,locatum_on,house,market,put
provide_vvg the_at queen_nn1 with_iw a_at1 house_nn1 ,1962,instrument,house,queen,provide
await_vvg action_nn1 by_ii the_at house_nn1 ,1962,instrument,house,action,await
shield_vvd_vvn the_at house_nn1 from_ii the_at road_nn1 ,1962,locatum_out,house,road,shield
have_vh0 a_at1 drink_nn1 on_ii the_at house_nn1 ,1962,location_on,house,drink,have
open_vvd the_at attack_nn1 on_ii the_at house_nn1 ,1962,location_on,house,attack,open
